Reserve,SiteID,TransectID,PlotID,Distance,Orthometric Height,Height Relative to MLLW,
ELK,Azevedo,1,1,0.0,2.271,2.270,
ELK,Azevedo,1,2,12.0,1.638,1.637,
ELK,Azevedo,1,3,23.9,1.607,1.606,
ELK,Azevedo,1,4,35.9,1.598,1.598,
ELK,Azevedo,1,5,47.9,1.577,1.576,
ELK,Azevedo,1,6,59.8,1.581,1.580,
ELK,Azevedo,1,7,71.6,1.219,1.218,
ELK,Azevedo,1,8,83.7,1.592,1.591,
ELK,Azevedo,1,9,95.6,1.576,1.576,
ELK,Azevedo,1,10,107.6,1.443,1.442,
ELK,Round Hill,1,1,0.0,2.323,2.322,
ELK,Round Hill,1,2,12.6,1.662,1.661,
ELK,Round Hill,1,3,25.1,1.589,1.588,
ELK,Round Hill,1,5,50.2,1.571,1.570,
ELK,Round Hill,1,6,62.8,1.548,1.547,
ELK,Round Hill,1,7,75.4,1.537,1.537,
ELK,Round Hill,1,8,87.2,1.462,1.461,
ELK,Round Hill,1,9,100.1,1.590,1.589,
ELK,Round Hill,1,10,112.8,1.459,1.458,
ELK,Big Creek,1,1,0.0,2.109,2.108,
ELK,Big Creek,1,2,11.0,1.584,1.583,
ELK,Big Creek,1,3,22.0,1.535,1.535,
ELK,Big Creek,1,5,44.0,1.494,1.493,
ELK,Big Creek,1,7,66.0,1.539,1.539,
ELK,Big Creek,1,8,77.0,1.473,1.472,
ELK,Big Creek,1,9,88.0,1.418,1.418,
ELK,Big Creek,1,10,99.0,1.584,1.583,
ELK,Hudsons,1,2,19.2,1.757,1.756,
ELK,Hudsons,1,3,38.4,1.780,1.779,
ELK,Hudsons,1,4,57.6,1.792,1.791,
ELK,Hudsons,1,5,76.8,1.695,1.694,
ELK,Hudsons,1,6,96.0,1.721,1.720,
ELK,Hudsons,1,7,115.2,1.654,1.653,
ELK,Hudsons,1,8,134.4,1.609,1.609,
ELK,Hudsons,1,9,153.6,1.536,1.535,
ELK,Yampah,1,2,12.4,1.579,1.578,
ELK,Yampah,1,3,24.8,1.562,1.561,
ELK,Yampah,1,4,37.2,1.585,1.584,
